ID,Date,Company,Title,Location,Link,Description,Level,Type,Function,Industry
urn:li:jobPosting:3272108081,2022-09-15,Incentiv.me,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-me-3272108081?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=a%2FVx6RPH%2BTlx2xCoo%2BXxcQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Como Analista de Processos Pleno você terá a missão de contribuir para implementação e manutenção do sistema de gestão de processos de negócios e qualidade transformando as fontes de dados em informações, facilitando a tomada de decisão dos gestores da empresa, garantindo a aderência aos parâmetros das normas e exigências do mercado, dentro das políticas definidas pela empresa.



Nesse sentido precisamos que você tenha um perfil analítico, comunicativo, bom raciocínio lógico e que tenha muita proatividade para solucionar os problemas que possam surgir durante a jornada. Se identificou.















Aqui você encontrará gente do bem, positiva, que ama o que faz e que faz acontecer!

Gente que acredita na riqueza da diversidade, por isso todas as nossas vagas são trabalhadas pensando em promover e valorizar uma cultura inclusiva que busque a equidade em relação a Gênero, LGBTQI+, Pessoas com Deficiência, Etnia e Regionalidades.

A nossa história está só começando e nós sonhamos grande!

E aí, bora fazer parte desse time? 💜",Not Applicable,Full-time,Management and Manufacturing,IT Services and IT Consulting
urn:li:jobPosting:3283612343,2022-09-22,FiberX,Sales Operations / Sales Data Analyst,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/sales-operations-sales-data-analyst-at-fiberx-3283612343?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=w8y2nyezmBS%2BOVkqCMFRHA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3273971302,2022-08-23,Seazone,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-seazone-3273971302?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=J%2Fooqo7erGN2gGpUrpb9hw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3277353852,2022-09-19,INCENTIV,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-3277353852?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=XCU8s6Eob7H8YkAoAkNJdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247509325,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247509325?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=%2Fn9AxdtAGlHx0%2BYB%2BJ17Og%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247510275,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247510275?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=xSVx5s9Yd5PCWzis2cpVVQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3269138473,2022-09-17,Dynamox,ANALISTA DE DADOS,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-dynamox-3269138473?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=LopI9guFEwmlrSs3seJmhg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247489068,2022-09-01,BIX Tech - Data Consulting,Engenheira(o) de Dados - Júnior (Remoto),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheira-o-de-dados-j%C3%BAnior-remoto-at-bix-tecnologia-consultoria-de-dados-3247489068?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=WaG452DsvKKQSALczQfyFA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3255755934,2022-08-12,3Neuron,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-3neuron-3255755934?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=4fWxzAegKKe4BX5J992uSw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3254129678,2022-09-09,Pieta.tech,Analista de Dados & Growth,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-growth-at-pieta-tech-3254129678?refId=lOGmTxkQVSghHlJwLMxneg%3D%3D&trackingId=lJK%2FkqRqxkK42a%2Fq77eG9g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
